#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Gemmatimonadota	4
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes	4
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales	2
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9	2
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9|g__20CM-2-65-7	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9|g__20CM-2-65-7|s__20CM-2-65-7	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9|g__WVYX01	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9|g__WVYX01|s__WVYX01	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__JACCXV01	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__JACCXV01|f__JACCXV01	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__JACCXV01|f__JACCXV01|g__JACCXV01	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__JACCXV01|f__JACCXV01|g__JACCXV01|s__JACCXV01	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Longimicrobiales	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Longimicrobiales|f__RSA9	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Longimicrobiales|f__RSA9|g__RSA9	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Longimicrobiales|f__RSA9|g__RSA9|s__RSA9	1
d__Bacteria|p__Proteobacteria	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Geminicoccales	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Geminicoccales|f__Geminicoccaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Geminicoccales|f__Geminicoccaceae|g__CADEGR01	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Geminicoccales|f__Geminicoccaceae|g__CADEGR01|s__CADEGR01	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Afifellaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Afifellaceae|g__Afifellaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Afifellaceae|g__Afifellaceae|s__Afifellaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__Methyloceanibacter	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__Methyloceanibacter|s__Methyloceanibacter	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Bradyrhizobium	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JACCYU01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JACCYU01|f__JACCYU01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JACCYU01|f__JACCYU01|g__JACCYU01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JACCYU01|f__JACCYU01|g__JACCYU01|s__JACCYU01	1
d__Bacteria|p__Tectomicrobia	2
d__Bacteria|p__Tectomicrobia|c__Entotheonellia	2
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__Entotheonellales	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__Entotheonellales|f__Entotheonellaceae	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__Entotheonellales|f__Entotheonellaceae|g__Entotheonellaceae	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__Entotheonellales|f__Entotheonellaceae|g__Entotheonellaceae|s__Entotheonellaceae	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__J063	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__J063|f__J063	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__J063|f__J063|g__J063	1
d__Bacteria|p__Tectomicrobia|c__Entotheonellia|o__J063|f__J063|g__J063|s__J063	1
